#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = 水
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = 熔融红石合金
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = 熔融导电铁
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = 熔融脉冲铁
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = 熔融玄钢
soularium                                         (enderio:block_fluid_soularium)                                                  = 熔融魂金
end_steel                                         (enderio:block_fluid_end_steel)                                                  = 熔融末影钢
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = 熔融铁合金
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = 熔融粗制钢
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = 熔融晶化合金
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = 熔融旋律合金
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = 熔融恒星合金
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = 熔融晶化粉红史莱姆
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = 熔融充能银
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = 熔融生动合金
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = 熔融玄武岩
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = 熔融泰伯利亚
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = 熔融极光金属
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = 熔融钷
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = 熔融杜兰特
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = 熔融瓦雷利亚
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = 熔融振金
karmesine_fluid                                   (taiga:molten_karmesine_fluid)                                                   = 熔融绯红铁
jauxum_fluid                                      (taiga:molten_jauxum_fluid)                                                      = 熔融若氏铁
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = 熔融欧维姆
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = 熔融地母
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = 熔融钯
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = 熔融雾金
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = 熔融熔晶
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = 熔融深渊金属
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = 熔融零素
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = 熔融泰伯利安
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = 熔融碎金
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = 熔融瑟蓝
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = 熔融普罗克希
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = 熔融漩金
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = 熔融焰晶
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = 熔融帝金
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = 熔融阳光合金
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = 熔融虚金
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = 熔融铿金
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = 熔融烈金
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = 熔融辐光合金
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = 熔融流光合金
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = 熔融地动合金
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = 熔融曜金
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = 熔融铌
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = 熔融原金
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = 熔融离金
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = 熔融陨铁
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = 熔融黑陨铁
magma_fluid                                       (taiga:molten_magma_fluid)                                                       = 熔融岩浆
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = 熔融硝化合金
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = 熔融双锂
xu_evil_metal                                     ([no block])                                                                     = 恶魔灌注铁
xu_enchanted_metal                                ([no block])                                                                     = 附魔金属
xu_demonic_metal                                  ([no block])                                                                     = 熔融恶魔金属
mithril                                           (tconstruct:molten_mithril)                                                      = 熔融秘银
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = 熔融强化黑曜石
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = 熔融强化荧石
osmium                                            (tconstruct:molten_osmium)                                                       = 熔融锇
manasteel                                         (tconstruct:molten_manasteel)                                                    = 熔融魔力钢
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = 熔融泰拉钢
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = 熔融源质钢
gaia                                              ([no block])                                                                     = 熔融盖亚魂
yellorium                                         (tconstruct:molten_yellorium)                                                    = 熔融黄铀
cyanite                                           (tconstruct:molten_cyanite)                                                      = 熔融蓝晶石
blutonium                                         (tconstruct:molten_blutonium)                                                    = 熔融蓝钚
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = 熔融纯镥
psi                                               (tconstruct:molten_psi)                                                          = 熔融Psi金属
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = 熔融乌黑Psi金属
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = 熔融乳白Psi金属
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = 熔融红石琥珀金
refinediron                                       (tconstruct:molten_refinediron)                                                  = 熔融精铁
tungsten                                          (tconstruct:molten_tungsten)                                                     = 熔融钨
titanium                                          (tconstruct:molten_titanium)                                                     = 熔融钛
chrome                                            (tconstruct:molten_chrome)                                                       = 熔融铬
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = 熔融高级合金
sunnarium                                         ([no block])                                                                     = 熔融阳光化合物
sky_stone                                         ([no block])                                                                     = 熔融陨石
fluix_steel                                       ([no block])                                                                     = 熔融福鲁伊克斯钢
starmetal                                         ([no block])                                                                     = 熔融星辉
crystal_matrix                                    ([no block])                                                                     = 不定型水晶矩阵
neutronium                                        ([no block])                                                                     = 超密中子流体
infinity_metal                                    ([no block])                                                                     = 无尽涌流
bound_metal                                       ([no block])                                                                     = 熔融束缚金属
sentient_metal                                    ([no block])                                                                     = 感知流质
livingrock                                        ([no block])                                                                     = 熔融活石
elementium                                        ([no block])                                                                     = 熔融源质钢
draconium                                         ([no block])                                                                     = 熔融龙素
wyvern_metal                                      ([no block])                                                                     = 飞龙聚合物
draconic_metal                                    ([no block])                                                                     = 神龙聚合物
chaotic_metal                                     ([no block])                                                                     = 混沌解构质
mica                                              ([no block])                                                                     = 熔融云母
essence_metal                                     ([no block])                                                                     = 熔融蕴魔源质
pink_metal                                        ([no block])                                                                     = 熔融粉色金属
energetic_metal                                   ([no block])                                                                     = 熔融能量金属
universal_metal                                   ([no block])                                                                     = 共晶UU合金
refined_obsidian                                  ([no block])                                                                     = 熔融强化黑曜石
refined_glowstone                                 ([no block])                                                                     = 熔融强化荧石
dark_matter                                       ([no block])                                                                     = 暗流质
red_matter                                        ([no block])                                                                     = 红流质
fluxed_electrum                                   ([no block])                                                                     = 熔融红石琥珀金
gelid_enderium                                    ([no block])                                                                     = 熔融极寒末影
thaumium                                          ([no block])                                                                     = 熔融神秘
void_metal                                        ([no block])                                                                     = 熔融虚空金属
primal_metal                                      ([no block])                                                                     = 熔融元金
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = 菜籽油
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = 精制菜籽油
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = 晶化油
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = 充能油
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = 乙醇
biomass                                           (forestry:fluid.biomass)                                                         = 生物质
glass                                             (forestry:fluid.glass)                                                           = 液态玻璃
for.honey                                         (forestry:fluid.for.honey)                                                       = 蜂蜜
ice                                               (forestry:fluid.ice)                                                             = 碎冰
juice                                             (forestry:fluid.juice)                                                           = 果汁
milk                                              (forestry:fluid.milk)                                                            = 牛奶
seed.oil                                          (forestry:fluid.seed.oil)                                                        = 种子油
short.mead                                        (forestry:fluid.short.mead)                                                      = 蜂蜜酒
alumite                                           (plustic:plustic.molten_alumite)                                                 = 熔融耐酸铝
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = 熔融锇荧黑曜合金
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = 熔融铱锇合金
mirion                                            (plustic:plustic.molten_mirion)                                                  = 熔融蕴魔结晶
infinity                                          (plustic:plustic.molten_infinity)                                                = 熔融无尽
fluidedmana                                       (extrabotany:fluidedmana)                                                        = 液态魔力
neutron                                           (super_solar_panels:neutronfluid)                                                = 中子液
imagproj                                          (academy:imag_phase)                                                             = fluid.imagproj
distilled_water                                   ([no block])                                                                     = 蒸馏水
aluminium                                         ([no block])                                                                     = 铝
americium                                         (tconstruct:molten_americium)                                                    = 镅
antimony                                          (tconstruct:molten_antimony)                                                     = 锑
argon                                             ([no block])                                                                     = 氩
plasma.argon                                      ([no block])                                                                     = 氩等离子体
arsenic                                           ([no block])                                                                     = 砷
barium                                            (tconstruct:molten_barium)                                                       = 钡
beryllium                                         (tconstruct:molten_beryllium)                                                    = 铍
bismuth                                           (tconstruct:molten_bismuth)                                                      = 铋
caesium                                           (tconstruct:molten_caesium)                                                      = 铯
calcium                                           (tconstruct:molten_calcium)                                                      = 钙
plasma.calcium                                    ([no block])                                                                     = 钙等离子体
carbon                                            (tconstruct:molten_carbon)                                                       = 碳
plasma.carbon                                     ([no block])                                                                     = 碳等离子体
cadmium                                           (tconstruct:molten_cadmium)                                                      = 镉
cerium                                            (tconstruct:molten_cerium)                                                       = 铈
chlorine                                          ([no block])                                                                     = 氯
deuterium                                         ([no block])                                                                     = 氘
dysprosium                                        (tconstruct:molten_dysprosium)                                                   = 镝
erbium                                            (tconstruct:molten_erbium)                                                       = 铒
europium                                          (tconstruct:molten_europium)                                                     = 铕
fluorine                                          ([no block])                                                                     = 氟
gadolinium                                        (tconstruct:molten_gadolinium)                                                   = 钆
gallium                                           (tconstruct:molten_gallium)                                                      = 镓
holmium                                           (tconstruct:molten_holmium)                                                      = 钬
hydrogen                                          ([no block])                                                                     = 氢
helium                                            ([no block])                                                                     = 氦
plasma.helium                                     ([no block])                                                                     = 氦等离子体
helium3                                           ([no block])                                                                     = 氦-3
indium                                            (tconstruct:molten_indium)                                                       = 铟
plasma.iron                                       ([no block])                                                                     = 铁等离子体
lanthanum                                         (tconstruct:molten_lanthanum)                                                    = 镧
lithium                                           (tconstruct:molten_lithium)                                                      = 锂
lutetium                                          (tconstruct:molten_lutetium)                                                     = 镥
magnesium                                         (tconstruct:molten_magnesium)                                                    = 镁
plasma.magnesium                                  ([no block])                                                                     = 镁等离子体
manganese                                         (tconstruct:molten_manganese)                                                    = 锰
mercury                                           ([no block])                                                                     = 汞
molybdenum                                        (tconstruct:molten_molybdenum)                                                   = 钼
neodymium                                         (tconstruct:molten_neodymium)                                                    = 钕
darmstadtium                                      (tconstruct:molten_darmstadtium)                                                 = ?
plasma.nickel                                     ([no block])                                                                     = 镍等离子体
niobium                                           (tconstruct:molten_niobium)                                                      = 铌
nitrogen                                          ([no block])                                                                     = 氮
plasma.nitrogen                                   ([no block])                                                                     = 氮等离子体
oxygen                                            ([no block])                                                                     = 氧
plasma.oxygen                                     ([no block])                                                                     = 氧等离子体
palladium                                         (gregtech:fluid.palladium)                                                       = 钯
plutonium                                         (tconstruct:molten_plutonium)                                                    = 钚-244
plutonium241                                      (tconstruct:molten_plutonium241)                                                 = 钚-241
potassium                                         (tconstruct:molten_potassium)                                                    = 钾
plasma.potassium                                  ([no block])                                                                     = 钾等离子体
praseodymium                                      (tconstruct:molten_praseodymium)                                                 = 镨
promethium                                        (tconstruct:molten_promethium)                                                   = 钷
radon                                             ([no block])                                                                     = 氡
plasma.radon                                      ([no block])                                                                     = 氡等离子体
rubidium                                          (tconstruct:molten_rubidium)                                                     = 铷
samarium                                          (tconstruct:molten_samarium)                                                     = 钐
scandium                                          (tconstruct:molten_scandium)                                                     = 钪
silicon                                           (tconstruct:molten_silicon)                                                      = 硅
plasma.silicon                                    ([no block])                                                                     = 硅等离子体
sodium                                            (tconstruct:molten_sodium)                                                       = 钠
strontium                                         (tconstruct:molten_strontium)                                                    = 锶
sulfur                                            ([no block])                                                                     = 硫
plasma.sulfur                                     ([no block])                                                                     = 硫等离子体
tantalum                                          (tconstruct:molten_tantalum)                                                     = 钽
tellurium                                         (tconstruct:molten_tellurium)                                                    = 碲
terbium                                           (tconstruct:molten_terbium)                                                      = 铽
thorium                                           (tconstruct:molten_thorium)                                                      = 钍
thulium                                           (tconstruct:molten_thulium)                                                      = 铥
plasma.titanium                                   ([no block])                                                                     = 钛等离子体
tritium                                           ([no block])                                                                     = 氚
uranium                                           (immersiveengineering:molten_uranium)                                            = 铀-238
uranium235                                        (tconstruct:molten_uranium235)                                                   = 铀-235
vanadium                                          (tconstruct:molten_vanadium)                                                     = 钒
yttrium                                           (tconstruct:molten_yttrium)                                                      = 钇
methane                                           ([no block])                                                                     = 甲烷
carbon_dioxide                                    ([no block])                                                                     = 二氧化碳
noble_gases                                       ([no block])                                                                     = 稀有气体
air                                               ([no block])                                                                     = 空气
liquid_air                                        ([no block])                                                                     = 液态空气
annealed_copper                                   (tconstruct:molten_annealed_copper)                                              = 退火铜
battery_alloy                                     (tconstruct:molten_battery_alloy)                                                = 电池合金
cupronickel                                       (tconstruct:molten_cupronickel)                                                  = 白铜
glyceryl                                          ([no block])                                                                     = 硝化甘油
titanium_tetrachloride                            ([no block])                                                                     = 四氯化钛
kanthal                                           (tconstruct:molten_kanthal)                                                      = 坎塔尔合金
magnalium                                         (tconstruct:molten_magnalium)                                                    = 镁铝合金
nichrome                                          (tconstruct:molten_nichrome)                                                     = 镍铬合金
niobium_nitride                                   (tconstruct:molten_niobium_nitride)                                              = 氮化铌
niobium_titanium                                  (tconstruct:molten_niobium_titanium)                                             = 铌钛合金
nitrogen_dioxide                                  ([no block])                                                                     = 二氧化氮
pig_iron                                          ([no block])                                                                     = 生铁
plastic                                           (tconstruct:molten_plastic)                                                      = 聚乙烯
